Entrez	Group
Ube4b	Ast_NPC
Sgip1	Ast_NPC
Ap2b1	Ast_NPC
Clint1	Ast_NPC
Usp24	Ast_NPC
Npas3	Ast_NPC
Hsp90ab1	Ast_NPC
Nedd4	Ast_NPC
Vps4b	Ast_NPC
Atp1a2	Ast_NPC
Atp1b3	Ast_NPC
Fxyd1	Ast_NPC
Prkacb	Ast_NPC
Gabarapl1	Ast_NPC
Ubb	Ast_NPC
Uchl4	Ast_NPC
Usp40	Ast_NPC
Vamp3	Ast_NPC
Arf1	Ast_NPC
Cpd	Ast_NPC
Ocrl	Ast_NPC
Rpn2	Ast_NPC
Psma6	Ast_NPC
Prkci	Ast_NPC
Fnbp1	Ast_NPC
Capza2	Ast_NPC
Specc1l	Ast_NPC
Itgb8	Ast_NPC
Actb	Ast_NPC
Hmgn1	Ast_NPC
Hmgn5	Ast_NPC
Smc4	Ast_NPC
Smarca4	Ast_NPC
Vbp1	Ast_NPC
Cops2	Ast_NPC
Psmd7	Ast_NPC
Psmc3	Ast_NPC
Ndufa5	Ast_NPC
Ndufb3	Ast_NPC
Cisd1	Ast_NPC
Stx12	Ast_NPC
Msh3	Ast_NPC
Eprs	Ast_NPC
Cs	Ast_NPC
Hsp90aa1	Ast_NPC
Serpine2	Ast_NPC
Apoe	Ast_NPC
Psen1	Ast_NPC
App	Ast_NPC
Atp1b2	Ast_NPC
Ube2g1	Ast_NPC
Ubr1	Ast_NPC
Usp37	Ast_NPC
Ppp2r2d	Ast_NPC
Braf	Ast_NPC
Rala	Ast_NPC
Vamp2	Ast_NPC
Ccng2	Ast_NPC
Ppp2r2a	Ast_NPC
Ppp1r12a	Ast_NPC
Shoc2	Ast_NPC
Acss1	Ast_NPC
Acox1	Ast_NPC
Abca1	Ast_NPC
Fasn	Ast_NPC
Son	Ast_NPC
Naa50	Ast_NPC
Oat	Ast_NPC
Hibadh	Ast_NPC
Slc27a1	Ast_NPC
Acsl3	Ast_NPC
Acsbg1	Ast_NPC
Acadl	Ast_NPC
Plxna3	Ast_NPC
Dpysl2	Ast_NPC
Dpysl3	Ast_NPC
Paics	Ast_NPC
Cnbp	Ast_NPC
Dnaja1	Ast_NPC
Chordc1	Ast_NPC
Hspa8	Ast_NPC
Arhgef18	Ast_NPC
Rhoa	Ast_NPC
Myo18a	Ast_NPC
Pls3	Ast_NPC
Ttc37	Ast_NPC
Rps5	Ast_NPC
Nhp2l1	Ast_NPC
Nedd8	Ast_NPC
Epc1	Ast_NPC
Pik3c2a	Ast_NPC
Mtmr2	Ast_NPC
Pik3r2	Ast_NPC
Usp22	Ast_NPC
Taf12	Ast_NPC
Gtf2h5	Ast_NPC
Ube2n	Ast_NPC
Stk17b	Ast_NPC
Mapk4	Ast_NPC
Lrrc58	Ast_NPC
Map3k2	Ast_NPC
Bet1	Ast_NPC
Arpc5	Ast_NPC
Zfp280c	Ast_NPC
Cwc27	Ast_NPC
Ran	Ast_NPC
Psmb2	Ast_NPC
G3bp1	Ast_NPC
Eif3a	Ast_NPC
Bzw1	Ast_NPC
Cab39	Ast_NPC
Lgr4	Ast_NPC
Mras	Ast_NPC
Ralbp1	Ast_NPC
Dusp3	Ast_NPC
Sept2	Ast_NPC
Sept7	Ast_NPC
Rtn4	Ast_NPC
Arhgdia	Ast_NPC
Gdi1	Ast_NPC
Luc7l3	Ast_NPC
Hnrnpa2b1	Ast_NPC
Cct7	Ast_NPC
Nars	Ast_NPC
Fis1	Ast_NPC
Dnm3	Ast_NPC
Sdc4	Ast_NPC
Sdc2	Ast_NPC
Anapc13	Ast_NPC
Rnf7	Ast_NPC
Anapc4	Ast_NPC
Psmc6	Ast_NPC
