"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2310","6.89312977","0.70681151","0.14507198","0.07142857","8","15","false","Ube4b","2.5","8","0","0","0.79678863","false","0","Ube4b","12434","0.17045455"
"2311","7.19847328","0.45449207","0.13891835","0.0","2","16","false","Usp24","5.5","2","0","0","0.78625954","false","0","Usp24","8004","0.5"
"2313","7.42748092","0.30041104","0.13463515","0.0","2","16","false","Vps4b","5.0","2","0","0","0.77836273","false","0","Vps4b","5316","0.5"
"2315","7.67175573","0.0","0.13034826","1.0","2","15","false","Usp40","7.0","2","0","0","0.76993946","false","0","Usp40","0","0.63636364"
"2317","7.64122137","0.15995302","0.13086913","0.0","2","16","false","Psmc3","5.0","2","0","0","0.77099237","false","0","Psmc3","2880","0.5"
"2319","7.67175573","0.0","0.13034826","1.0","2","15","false","Usp37","7.0","2","0","0","0.76993946","false","0","Usp37","0","0.63636364"
"2321","7.83969466","0.04509689","0.12755599","0.0","2","16","false","Nedd8","5.0","2","0","0","0.76414846","false","0","Nedd8","780","0.5"
"2323","7.83969466","0.04509689","0.12755599","0.0","2","16","false","Ube2n","5.0","2","0","0","0.76414846","false","0","Ube2n","780","0.5"
"2325","7.45801527","0.34345273","0.13408393","0.13333333","6","15","false","Uchl4","3.0","6","0","0","0.77730982","false","0","Uchl4","5958","0.22727273"
"2327","8.32824427","0.47662948","0.12007333","0.0","6","19","false","Sgip1","2.0","6","0","0","0.74730192","false","0","Sgip1","8444","0.16666667"
"2328","7.91603053","0.42137405","0.12632594","0.0","2","18","false","Ap2b1","4.5","2","0","0","0.76151619","false","0","Ap2b1","7440","0.5"
"2330","9.29007634","0.02155021","0.10764174","0.0","2","20","false","Ocrl","4.0","2","0","0","0.7141353","false","0","Ocrl","494","0.5"
"2332","9.15267176","0.15502055","0.10925771","0.0","2","20","false","Fnbp1","4.5","2","0","0","0.71887339","false","0","Fnbp1","2684","0.5"
"2334","9.15267176","0.15502055","0.10925771","0.0","2","20","false","Vamp2","4.0","2","0","0","0.71887339","false","0","Vamp2","2684","0.5"
"2336","9.27480916","0.04509689","0.10781893","0.0","2","20","false","Hspa8","4.0","2","0","0","0.71466175","false","0","Hspa8","780","0.5"
"2338","9.21374046","0.09348209","0.10853355","0.0","2","20","false","Arpc5","5.0","2","0","0","0.71676757","false","0","Arpc5","1734","0.5"
"2340","7.51908397","0.46834997","0.13299492","0.0","3","17","false","Clint1","2.0","3","0","0","0.775204","false","0","Clint1","8248","0.33333333"
"2343","8.46564885","0.04509689","0.11812444","0.0","2","18","false","Ralbp1","2.5","2","0","0","0.74256383","false","0","Ralbp1","780","0.5"
"2345","8.81679389","0.26142102","0.11341991","0.0","3","19","false","Npas3","3.0","3","0","0","0.73045538","false","0","Npas3","4640","0.33333333"
"2346","8.3740458","0.30657663","0.11941659","0.0","3","18","false","Hsp90ab1","2.33333333","3","0","0","0.74572256","false","0","Hsp90ab1","5434","0.33333333"
"2348","9.76335878","0.04509689","0.10242377","0.0","2","20","false","Smarca4","2.5","2","0","0","0.69781521","false","0","Smarca4","780","0.5"
"2350","9.32061069","0.24204345","0.10728911","0.0","4","20","false","Hsp90aa1","2.25","4","0","0","0.71308239","false","0","Hsp90aa1","4312","0.25"
