Id1 Id2
Ube4b Usp24
Ube4b Usp40
Ube4b Psmc3
Ube4b Nedd8
Ube4b Ube2n
Usp24 Clint1
Vps4b Nedd4
Vps4b Stx12
Vps4b Usp37
Usp40 Uchl4
Psmc3 Psmd7
Psmc3 Psmb3
Psmc3 Hsp90ab1
Nedd8 Ube2g1
Ube2n Gtf2h5
Sgip1 Ap2b1
Sgip1 Ocrl
Sgip1 Fnbp1
Sgip1 Vamp2
Sgip1 Hspa8
Ap2b1 Ocrl
Ap2b1 Eprs
Ap2b1 Ralbp1
Ap2b1 Hspa8
Ocrl Vamp3
Fnbp1 Vamp3
Fnbp1 Vamp2
Vamp2 Chordc1
Vamp2 Sept7
Hspa8 Cwc27
Hspa8 Mdh2
Clint1 Ralbp1
Ralbp1 Trp53
Ralbp1 Arf1
Npas3 Hsp90aa1
Npas3 Hsp90ab1
Npas3 Smarca4
Npas3 Trp53
Hsp90aa1 Nedd4
Hsp90aa1 Prkacb
Hsp90aa1 Plxna3
Hsp90ab1 Itgb8
Hsp90ab1 Cops2
Smarca4 Smc4
Smarca4 Zfp280c
Smarca4 Ezh2
Trp53 Psen1
Trp53 Hmgb1
Nedd4 Ywhae
Prkacb Fxyd1
Prkacb Gtf2h3
Prkacb Atp1a2
Dusp3 Mapk4
Atp1a2 Atp1b3
Atp1a2 Atp1b2
Atp1a2 Fxyd1
Atp1b3 Fxyd1
Atp1b3 Atp1b2
Gabarapl1 Ubb
Gabarapl1 Gabarapl2
Ubb Usp22
Gabarapl2 Actb
Uchl4 Usp37
Vamp3 Arf1
Vamp3 Bet1
Arf1 Cpd
Arf1 Myo18a
Stx12 Cisd1
Bet1 Ank3
Rpn2 Psma6
Rpn2 Psmb2
Rpn2 Eprs
Rpn2 Psmb3
Psma6 Prkci
Psmb2 Exosc7
Psmb2 Ran
Prkci Braf
Prkci Pik3r2
Braf Ppp2r2a
Braf Mras
Braf Ywhae
Capza2 Pls3
Capza2 Specc1l
Capza2 Hmgb1
Capza2 Specc1
Pls3 Itgb8
Pls3 Rdx
Specc1l Itgb8
Itgb8 Specc1
Hmgn5 Smc4
Hmgn5 Hmgn2
Smc4 Dek
Smc4 Rrm1
Vbp1 Cops2
Vbp1 Sept7
Vbp1 Dek
Cops2 Psmd7
Cops2 Gtf2h3
Cops2 Gtf2h5
Nars Eprs
Nars Cct7
Bzw1 Eif3a
Bzw1 Eif4a1
Ndufa5 Ndufb3
Ndufa5 Atp5h
Ndufb3 Cisd1
Msh3 Eprs
Msh3 Rrm1
Serpine2 Vldlr
Apoe Psen1
Apoe Fasn
Apoe Sdc2
Apoe App
Apoe Acox1
Psen1 Nfix
Psen1 Cdk5
Psen1 Nfib
Fasn Abca1
Fasn Slc27a1
Fasn Acsbg1
Fasn Acsl3
Sdc2 Sdc4
Ube2g1 Ranbp1
Ube2g1 Chuk
Ube2g1 Rnf7
Ppp2r2d Ccng2
Ppp2r2d Ppp1cb
Ppp2r2d Lats2
Ccng2 Ppp2r2a
Ccng2 Ccnd2
Shoc2 Ppp1r12a
Ppp1cb Hnrnpa2b1
Acss1 Acox1
Acss1 Hibadh
Acss1 Acadl
Acss1 Cs
Acox1 Abca1
Acox1 Cs
Acox1 Pex11b
Hibadh Oat
Acadl Acsbg1
Acadl Acsl3
Son Naa50
Son Cdkn1b
Son Ran
Son Fth1
Naa50 Oat
Naa50 Fth1
Slc27a1 Acsl3
Acsl3 Acsbg1
Acsbg1 Pex11b
Plxna3 Dpysl2
Plxna3 Dpysl3
Plxna3 Plxnb1
Dpysl2 Dpysl3
Cnbp Hnrnpk
Cnbp Hnrnpa2b1
Dnaja1 Chordc1
Dnaja1 Cct7
Arhgef18 Rhoa
Arhgef18 Rhob
Rhoa Ppp1r12a
Rhoa Plxnb1
Rhoa Calm3
Ppp1r12a Myl12a
Myl12a Myo18a
Myl12a Ppp1r16b
Map3k2 Lrrc58
Map3k2 Chuk
Epc1 Morf4l2
Epc1 Actb
Morf4l2 Actb
Actb Myo18a
Usp22 Taf12
Taf12 Gtf2h5
Gtf2h5 Pcna
Stk17b Mapk4
Stk17b Calm3
Mapk4 Lrrc58
Zfp280c Cwc27
G3bp1 Eif3a
G3bp1 Prmt1
Lgr4 Mras
Lgr4 Rala
Rtn4 Arhgdia
Rtn4 Rock2
Arhgdia Sdc4
Luc7l3 Hnrnpa2b1
Fis1 Dnm3
Fis1 Pex11b
Dnm3 Myo18a
Hmgb1 Hmgn2
Atp5h Mdh2
Vldlr Pik3r2
Ranbp1 Eif4a1
Rnf7 Cdkn1b
Nfix App
Cdk5 Ank3
Nfib Ezh2
Lats2 Rala
Ccnd2 Pcna
Hnrnpk Ilf3
Rhob Rdx
Prmt1 Ilf3
Rock2 Ppp1r16b
