"","kld","degree_g1","degree_g2"
"16",0.455009254090428,9,2
"90",0.404397244413307,2,9
"69",0.298758053569247,2,7
"15",0.288034297115656,9,3
"51",0.278800208144047,16,6
"89",0.260467529982759,7,3
"97",0.200190990537909,7,3
"84",0.191413946456918,5,2
"28",0.170529360617802,11,11
"57",0.165660133713039,14,13
"58",0.163950735292823,17,25
"92",0.160466215238112,17,17
"2",0.153979782212654,7,4
"70",0.148933045898988,10,10
"45",0.148301518768771,8,8
"88",0.14761692054399,2,4
"18",0.14652851157608,9,9
"49",0.144348838807836,35,34
"64",0.140711978525995,11,11
"68",0.137698108936934,12,13
"43",0.135828269072955,8,7
"65",0.131564282146708,9,9
"79",0.131090593074916,2,3
"50",0.129693014530991,8,7
"63",0.128179998695459,6,7
"55",0.128138193342814,21,20
"29",0.125545817019083,8,8
"71",0.123872632185363,7,7
"67",0.122356596590142,8,8
"42",0.120548946737384,7,5
"1",0.114896627229377,4,2
"6",0.112859296017443,4,2
"81",0.111195335204484,3,4
"52",0.104410404032954,6,6
"46",0.10219747929499,8,7
"21",0.100216627625165,5,3
"44",0.099619039912266,6,6
"100",0.0978776916406556,4,5
"48",0.0960254801827525,7,6
"80",0.0929543863376908,3,4
"39",0.0904944321540084,6,6
"99",0.0894554587948023,6,6
"47",0.085632791188571,5,4
"7",0.0835043820292409,5,5
"33",0.0835038710575338,5,5
"53",0.0801990283226568,5,5
"56",0.0792900245629943,6,6
"41",0.0772712785198143,5,5
"26",0.0764652055568464,6,6
"54",0.0763776504056991,5,4
"8",0.0756498993659002,2,3
"59",0.0731165340626814,5,5
"93",0.0725480033957543,5,4
"75",0.0717438679061661,3,4
"14",0.0688461347730074,4,4
"91",0.0668343703663764,3,3
"23",0.0647578696362885,3,3
"34",0.0622985673704445,4,3
"13",0.06173038847273,4,4
"19",0.0576842006996076,4,4
"83",0.0574119921791604,2,3
"10",0.0568435200091911,4,4
"9",0.055697876878717,4,3
"73",0.0550806118804804,4,4
"60",0.0536973887092157,4,4
"3",0.0524400716707597,4,4
"36",0.0522461850397313,3,3
"72",0.0492431290455872,3,2
"96",0.048622290277689,3,2
"4",0.0482828120586744,3,2
"31",0.0482797567248803,3,3
"20",0.0480145777796216,3,2
"40",0.0466070363799523,3,2
"62",0.0433194435933393,2,3
"24",0.0425086863432252,3,2
"94",0.0366391839335768,3,2
"17",0.0352777116973587,3,3
"11",0.0349285235029816,3,2
"12",0.0340573195783083,3,2
"78",0.0330622528623784,3,2
"30",0.0319126065403969,3,2
"5",0.0276080927628585,2,2
"95",0.0259446586802589,2,2
"37",0.02027551797141,2,2
"82",0.019056362732156,2,2
"85",0.0188403976556489,2,2
"87",0.0155390277052533,2,2
"32",0.0153535278750493,2,2
"27",0.0122483005130752,2,2
"98",0.0121905368508439,2,2
"61",0.0116255566758023,2,2
"35",0.0116209787614938,2,2
"74",0.0105797067897242,2,2
"76",0.0103225458493536,2,2
"77",0.0100025730614849,2,2
"22",0.00993567802598843,2,2
"66",0.00827774152837325,2,2
"86",0.00795608827816027,2,2
"38",0.00765844767898174,2,2
"25",0.00651277831832252,1,1
