"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"1",-0.61384,-0.34127,0.33255,-0.22576,-0.24848,-0.50799,-0.61213,-0.25623,0.17859,-0.6511,0.84202,-0.78662,-0.029599,0.11572,-0.3712,-0.28569,0.58165,0.095372,0.28712,-0.35932,-0.16531,-0.18746,0.59039,0.68578,-0.47095,-0.39099,0.5801,-0.97046,-0.76352,0.57655,-0.33305,-0.61054,0.045715,0.028964,-0.059756,0.1563,-0.45012,0.85881,-0.18836,-0.51055,-1.1138,-0.038003,0.84471,0.52423,0.67296,-0.13808,-0.51296,-0.22752,0.71516,-0.17787,0.032052,0.97813,0.11689,-0.1164,-0.49104,0.69538,-0.041897,0.10356,-0.19214,-0.39019,0.30716,0.076286,0.00021215,-0.12385,-0.36548,0.51336,0.49217,-0.029792,0.63652,0.55886,-0.61376,-0.27173,-0.025335,0.33316,0.4944,-0.011897,-0.27204,0.62293,0.2454,0.49909,-0.29915,0.31773,0.55557,0.98212,-0.047567,-0.0077695,-0.42687,0.17099,-0.69028,-0.82313,0.1746,0.059031,-0.33565,0.39706,0.14703,-0.050951,0.26219,-0.22631,-0.44732,0.8502,0.42109,-0.88581,-0.53543,-0.5576,-0.30424,-0.56341,-0.26976,-0.47871,0.0928,0.21198,0.49196,0.16078,1.049,-0.16404,-0.088055,-0.38351,-0.4822,-0.44373,-0.1296,0.12086,0.45658,-0.37913,1.8274,0.79038,-0.45661,0.12129,0.11782,-0.097043,0.21837,0.52432,0.27436,0.49748,0.70255,-0.11355,0.41417,-0.68569,0.28287,-0.46311,0.18741,0.28689,0.13385,0.29806,0.48801,-0.3175,0.40351,1.1072,0.57233,1.0587,-0.043995,-0.12824,-0.3267,-0.2356,0.17105,-0.20371,-0.18212,0.76174,-1.073,0.30483,-0.32699,-0.20801,0.26172,0.25652,-0.20879,0.23855,0.038096,-0.34746,-0.55794,0.45385,-0.10507,-0.10128,-0.24229,-1.162,-0.3103,0.30419,-0.25054,0.31054,0.34792,0.17449,0.8446,0.11065,0.85598,0.63849,-0.75402,-0.53334,0.35248,0.41819,0.50546,0.50621,0.10796,0.25417,0.38589,-0.43045,0.033412,-0.70061,-0.022974,-0.71352,0.20972,0.4951,0.0048609,0.20282
"2",-0.26029,1.0285,-0.39505,-0.3666,-0.71011,-0.44299,-0.41493,-0.62635,-0.81122,0.45419,-0.014678,0.28489,0.91925,-0.030474,-0.77077,-0.4033,0.073555,0.083664,-0.2093,-0.70719,0.35894,-0.18611,-0.3368,-0.12929,0.48687,-0.5358,0.62189,-0.31708,1.0021,0.58513,-0.26734,0.94443,0.2263,0.28824,1.0078,-0.79548,-0.29972,0.41657,-0.70666,0.086512,-1.0025,1.6969,0.54845,0.33559,0.34374,-0.23142,-0.93856,-0.70834,0.3471,0.49254,0.21096,0.62805,0.28191,0.39804,0.45365,0.4169,-0.76254,0.53035,-0.79333,0.33603,-0.87243,-0.62406,1.0385,0.77937,-1.5334,-0.78857,0.31201,-0.54118,0.62153,-0.07525,0.47104,-0.86105,0.26194,-0.64351,0.55185,0.36618,0.67092,0.94913,1.3401,0.46718,-0.40152,0.54505,1.1735,0.099359,-0.3072,-0.25515,-0.038688,1.0151,-0.65312,-1.156,-0.077715,-0.10716,-0.1612,0.79112,1.8296,0.092813,1.3364,-1.121,-0.86148,0.10509,-0.058979,0.092875,-0.91676,1.2923,0.72655,0.17986,-0.079449,0.098534,0.34291,0.016085,0.18213,0.69099,-0.072869,-0.54768,-0.95889,-0.2951,0.90736,-0.97529,0.039864,0.17698,-0.52352,-1.3714,-0.25098,0.26621,-0.2968,-0.072987,-0.40871,-0.61354,0.042507,0.25026,0.58952,0.031256,0.065158,0.4762,-0.21048,-0.12073,0.29766,0.49636,0.22389,0.30379,0.80988,0.085983,0.48023,-0.43076,-1.4263,1.1517,0.40851,-0.0089826,0.73671,0.29836,0.38626,-0.98442,0.5774,-0.13354,-0.5084,-0.10435,-0.88868,0.32969,1.3968,-0.77231,1.0272,0.22861,-0.35872,-0.37205,1.0095,0.059128,0.22905,0.92577,-0.010084,-0.13351,-0.18446,0.29674,-1.1748,-0.43417,0.34763,0.15998,0.97535,0.68939,0.3789,0.93127,0.43125,1.0949,-0.10504,-1.0701,-0.089199,-0.073563,0.35638,0.036364,-0.17682,1.1428,-0.30982,-0.81137,-0.37298,0.030938,-0.34338,0.88647,0.11166,-0.22817,-0.60842,0.08755
"3",0.54318,0.41297,-0.23115,0.47922,-0.3097,0.48212,1.0087,0.14176,0.42468,-0.64738,-0.54888,-0.63453,0.42442,-0.42675,0.44734,0.087817,-0.48437,-0.0054573,-0.18317,0.32474,0.55829,0.026517,-0.0016662,0.042526,-0.44261,-1.2156,-0.24838,-0.41686,0.75104,-0.77501,0.19124,0.20825,-0.39782,0.79823,-0.058805,-0.25914,0.54897,-0.45654,0.20717,0.070481,-0.13187,-0.026241,-0.22131,0.45924,0.043847,0.24106,0.23766,0.22779,-0.93285,1.2774,-0.57701,0.2113,-0.89005,-0.0046832,-0.17946,-0.61757,-0.45138,-0.24206,-0.40511,-0.61781,0.070269,-0.32541,-0.14087,1.2594,-0.33495,-0.13967,0.18107,-1.0927,0.68573,0.32567,-0.052944,0.26248,0.80002,-0.32777,0.20074,-0.26239,-0.49858,0.0081417,0.20904,0.43798,0.4585,-0.59127,-0.29233,0.45841,0.55603,0.59159,0.67991,-0.0060772,0.135,-0.74603,-0.48586,0.20444,0.79387,0.026086,0.28624,0.3814,0.26998,-0.59946,-0.67552,0.60106,-0.58893,0.38097,-0.52731,-0.37345,-0.67889,-0.57928,-0.16456,0.20906,-0.20019,0.16276,-0.55239,0.13279,-0.033047,-0.63691,0.6357,-0.50381,0.097433,-0.054588,-0.42313,0.59838,0.029655,0.14366,0.06233,0.30709,0.14559,-0.5581,-0.77127,-0.90701,-0.53088,0.65777,-0.59881,0.99285,-0.14622,-0.20853,-0.20977,-1.0434,0.10018,0.18241,-1.0809,-0.38705,0.62232,0.58141,-0.45922,0.93739,0.12174,0.95352,-0.099448,-0.34049,-0.18046,0.13581,-0.2455,-0.046317,0.48402,0.30789,-1.3363,0.11884,-0.50997,1.151,0.083607,-0.3283,0.15975,0.68459,0.44285,-0.070113,-0.33226,-0.0095487,-0.079702,-0.15734,0.44317,0.050935,0.10481,-0.65798,-0.15444,-0.90815,0.13547,-0.24735,0.75732,0.51969,0.16717,0.53784,-0.29791,0.23722,0.76815,0.11312,-0.040217,-0.74644,-0.13678,0.17922,-0.23848,-0.27603,0.17647,0.41546,0.2893,0.69957,0.10999,-0.1195,0.08469,0.66907,-0.42612,0.085725
"4",0.44474,-2.3226,1.4478,-0.028245,0.65952,0.96867,0.44593,1.5184,0.48135,-0.05149,-1.3654,-0.065918,0.67362,-1.7077,0.68453,0.47097,-1.1384,-1.6786,0.079827,0.50307,0.060858,-0.043435,0.93143,0.55667,-1.1161,0.39152,-0.40205,-0.034178,-0.269,0.65235,-0.12447,-0.86967,0.82631,-0.50153,-0.26545,0.99065,0.0019329,0.29875,1.0429,0.1361,-0.19723,-1.005,1.2446,-0.37593,-0.94453,-0.97872,0.66745,-0.86934,-0.67143,-0.56181,-0.89164,-0.047453,-0.43794,0.017422,-1.8714,-0.68417,0.74003,-0.9123,0.38168,0.67216,0.15403,0.28698,0.54674,-1.1054,1.7285,0.42718,-0.3011,0.55564,-0.65811,-1.0971,-0.28209,1.2788,-0.15732,0.055814,-0.72355,-1.5829,-1.1509,-0.24056,-0.89056,-1.0296,1.2027,-1.0162,-0.99599,-0.46559,0.31015,1.2517,-0.3675,-0.71903,0.39915,1.3497,-0.75927,-1.0027,-0.65215,-0.78668,-1.7074,0.37613,-1.8915,0.96148,1.2215,-0.37023,0.1581,-0.63486,0.24788,-0.54695,0.056779,-1.0492,-0.066275,0.37049,1.0176,0.17307,0.46116,-0.54143,-0.92351,0.86772,1.3371,1.1722,0.589,1.2625,0.35965,-0.92021,-0.89903,1.0033,-0.3146,-1.0275,0.24095,-1.2827,0.23879,-0.019761,0.21853,-1.105,0.14677,-0.19098,0.32716,-0.32663,-0.65576,0.77177,-0.71227,-1.1316,0.42187,0.50511,-0.38569,0.071841,-1.2209,0.51851,0.85743,-0.68103,-0.014029,0.45736,0.38664,0.13305,-0.32944,0.25372,-0.1614,0.1082,0.13618,-0.27145,0.92041,-0.96734,-0.83332,0.38019,-1.788,-0.1536,-0.22449,-0.40167,-0.4181,0.25653,1.164,-1.0946,0.057879,-0.11122,-0.39932,0.51803,0.66997,0.78839,0.34249,1.1914,-0.64659,-0.62765,0.14248,-0.71921,0.094762,-0.69936,-0.094964,0.50517,0.31487,-0.085981,-0.49706,-0.1757,0.30971,-1.2019,0.36335,1.9568,0.032061,-0.21656,-0.24931,-1.8523,-0.15045,-0.57327,0.5924,1.3519
"5",0.11056,-0.019881,-0.63905,0.7559,-1.0239,0.21448,-0.25362,-0.23874,-0.096969,0.372,-0.26749,0.25245,-0.0098558,0.11347,-0.46676,-0.084472,-0.35369,0.36792,-0.1736,-0.18948,0.6855,0.193,0.062738,-0.43382,0.49951,-0.30662,0.75992,-0.50545,-0.74159,0.4554,-0.41555,0.1184,-0.19932,-0.21253,0.54765,-0.85747,-0.59712,-0.39166,-1.007,0.22912,-0.31246,0.18497,0.5369,0.80054,0.51206,-0.018335,-0.80429,0.022359,0.57033,0.18025,0.0060849,1.762,0.19393,-0.41963,0.030034,0.63591,0.085415,0.49544,-1.419,-0.147,0.19123,0.79984,0.04649,0.99342,-0.66913,0.20639,-0.68189,-0.30644,0.90351,-0.29417,-1.2132,0.13619,0.51538,0.39106,0.65916,0.022392,-0.1506,0.26024,0.24668,1.0891,-0.38675,0.6266,-0.32494,0.32562,-0.55438,-0.76584,-0.59176,-0.0093104,-0.52002,-0.80563,0.85405,0.34085,-0.063666,0.77312,-0.36819,-0.019943,0.72255,-0.014878,0.10881,0.21414,0.27393,0.38759,-0.25142,0.73827,0.079871,0.15852,-0.83448,-0.1849,-0.13655,-0.062404,0.14609,1.258,0.12804,-0.73091,-0.06201,-0.97472,0.040329,-0.49304,-0.58957,-0.2799,-0.046861,-0.37986,0.29371,0.98903,0.45782,-0.2022,-0.62572,0.20008,0.17414,-0.53577,0.52024,-0.96205,-0.67081,-0.31736,0.34365,-0.16034,0.34979,0.91651,0.025188,-0.068103,0.79904,0.034357,0.44457,0.41457,-0.50547,-0.26199,-0.83971,-0.22483,-0.37141,0.051354,0.29089,-1.038,0.74603,0.35659,-0.030806,0.61432,0.52965,0.40013,-0.51318,0.00537,0.48868,-0.087343,-0.44012,0.12822,-0.67667,0.17082,-0.5687,0.5648,0.032085,-0.43568,0.11982,-0.069063,0.43809,-0.46276,0.061187,-0.9025,1.1721,-0.035554,0.43577,-0.70172,-0.8146,1.4038,0.15029,-1.1038,0.028298,-0.51718,0.2339,-0.27502,0.13737,0.3314,-0.86302,0.14164,-0.533,-0.29561,0.31369,0.57317,0.22934,-0.5029,-0.071055,-0.39481
"6",0.24585,-1.5201,0.96203,-0.56183,0.061145,0.29294,-0.65205,0.28805,-0.19181,0.4567,-0.4554,0.51948,-0.18102,0.48017,0.56351,0.32776,-0.042502,-0.5688,0.27356,0.13059,-0.77449,0.6568,0.3081,-0.71965,-0.19844,-0.093314,-0.0043839,-0.2176,-0.13509,-0.87159,-0.037211,-1.5447,0.18418,0.06354,-0.41814,0.25882,0.56626,-0.7957,0.25845,-0.28002,0.41245,0.25778,1.0468,-0.26401,0.20799,-0.6351,0.47744,-0.23696,-0.016213,0.20212,-0.098624,0.37977,-0.70032,0.38857,0.33548,-0.0014632,-0.22556,-0.27655,-0.018833,0.98153,0.20109,-0.9682,0.40371,-0.30115,-0.18703,-0.060717,-0.202,-0.076797,-0.54081,-0.19675,0.47514,0.26183,0.40211,-0.16871,-0.0558,0.088442,0.22445,0.13548,0.66348,-0.24861,0.8208,-0.1421,0.31212,0.044972,1.3488,-0.44869,-0.4652,-0.24679,-0.71584,0.62161,0.072846,-1.1533,-1.164,-0.74359,0.023178,-0.47211,-0.40306,0.44017,0.37045,0.46002,-0.084873,0.87437,-0.51764,-0.13666,0.015787,-0.385,0.10401,-0.51415,-0.094804,-0.1809,0.17715,-0.5145,-0.91148,-0.055794,0.47236,0.42825,0.75377,0.56492,0.066315,-0.22656,0.4034,0.77051,-0.27666,-0.61043,0.93398,0.43852,0.16279,0.33461,0.019382,-0.25539,-0.34284,0.11863,0.1987,-0.26781,-0.54208,0.11669,-0.52358,0.21394,0.27891,-0.34804,-0.31659,-0.41837,-0.12054,-0.11636,0.17569,-0.28161,-0.16494,-1.1303,-0.60802,-0.37318,0.42087,0.6257,-0.45137,0.15189,-0.35951,-0.39053,-0.3391,0.35045,-0.40206,-0.3134,0.16746,0.079049,0.50135,-0.65209,0.31447,1.099,0.16613,-1.2495,-0.1561,0.68322,-0.12479,1.4239,-0.60667,0.80428,-0.0046391,-0.51433,-0.1258,-0.18284,-0.077538,-0.30784,-0.73049,-0.14126,-0.0095307,0.8401,-0.059014,-0.33847,-0.056335,-0.19647,-0.40963,0.084043,0.47805,0.99646,0.59824,0.32457,-0.23314,0.031256,-0.33507,-0.28696,0.42768,-0.098416
"7",0.39988,0.24431,0.28424,0.90541,-0.51694,-0.55628,-0.24493,-0.1187,0.22278,-0.12211,0.94735,-0.67464,0.20861,0.071776,0.46191,-0.34995,0.4668,0.8696,-1.3975,0.13785,0.2396,-0.35452,1.0572,0.60168,-0.7799,0.064739,0.04181,0.41775,0.74237,-0.6171,-0.51953,0.31677,-0.226,1.0369,0.66519,0.089982,0.4316,0.27207,-0.13799,-0.41591,-0.42785,-0.19617,-0.55946,-0.306,0.53239,0.67355,0.44898,0.62496,0.7216,0.22157,1.1531,-0.19425,0.11879,0.18858,-0.13625,-0.03153,0.51394,0.13597,0.14104,0.3334,0.16821,-0.89359,-0.95614,1.0125,0.18422,-0.87849,0.20081,0.2071,1.0426,-0.12635,-0.042038,0.10818,0.64315,0.27228,-0.18572,0.78134,0.074429,-0.22851,0.17782,1.0091,0.48067,0.34651,0.26997,0.028353,-0.1528,-0.54158,0.33219,-0.045191,-0.46679,0.24108,-0.043416,0.13122,1.1031,0.47327,0.68676,0.87394,-0.43609,-0.17648,0.73028,-0.073222,0.062423,0.22276,0.20336,0.29743,0.13042,0.92893,-0.2851,-0.053761,-0.32534,-0.010923,-0.021741,-0.16145,0.44551,-0.87021,-0.64345,-0.59306,-0.47593,0.64287,-0.10964,0.32668,-0.23655,-0.86823,0.021334,0.1236,0.11221,-0.039531,0.094154,-0.022796,0.052957,0.40425,-0.15938,0.48537,-0.52475,-0.15314,-0.12622,0.02587,-0.39016,-0.29299,-0.26769,-0.8416,0.31579,0.0022864,-0.13079,0.4109,0.28894,0.63195,0.26483,-0.14539,0.43007,0.16608,-0.056306,0.45004,-0.076725,-0.026266,-1.0047,-0.50761,0.54062,0.059786,0.66512,0.49317,-0.23494,0.71298,-0.033057,0.31383,1.3989,-0.080738,0.070176,0.0031304,-0.69086,0.031149,0.24688,-1.0111,1.0464,-0.15177,-0.58553,0.28745,0.48053,-0.50906,-0.014917,0.51222,0.32248,-0.14767,-0.15682,0.48871,0.36281,0.53107,-0.20162,0.21833,0.43159,0.19796,-0.51224,0.10648,-0.23872,0.57904,-0.67663,0.86697,0.24508,0.30331,0.515,-0.75088
"8",0.51666,-0.38291,0.80578,1.2001,0.10727,-0.33042,0.65666,0.336,-0.24265,0.066648,1.2092,-0.46455,0.01297,-0.055728,-0.17795,-0.5777,-1.1392,-0.15346,-0.17514,-0.38882,-0.22654,0.67634,0.393,-0.044876,0.65684,0.11813,-0.096624,0.52517,-0.46191,0.7865,0.63262,0.054862,1.0833,0.75928,-0.48524,-0.26633,-0.1466,-0.40854,-0.014482,-0.023439,-0.37547,0.62782,-0.092405,-0.70661,0.96071,0.39781,0.48696,0.36505,-0.12802,0.17979,0.67655,-1.0543,0.20501,0.10238,-0.22751,0.32072,-0.18058,0.75432,-0.21469,0.95561,0.12043,0.1477,0.76539,0.33805,-0.47624,-0.12625,0.79784,-0.45621,0.33664,-0.5635,-0.75218,-1.3577,-0.14679,0.4366,0.07928,0.073161,0.74252,-0.0040098,-0.27229,-1.247,0.13743,0.099788,-1.2394,0.047971,-0.23334,-0.084709,0.60447,0.4489,-0.35099,0.059904,-0.04207,0.44299,-0.9657,0.073556,-0.052407,-0.25225,-0.67565,0.39729,0.50112,-0.33863,-0.23428,-0.33114,-0.1939,0.31923,0.4638,-0.78446,0.72281,-0.2379,0.15373,0.053205,0.47351,0.57086,-0.10966,0.89833,0.63637,0.46532,0.33964,0.54082,-0.37201,-0.48354,0.14664,0.14793,-0.32149,-0.32988,-0.017473,0.36087,0.46015,-0.5529,0.36315,0.28278,-0.34909,-0.74577,0.13301,0.86887,-0.86246,0.12408,0.50909,0.70265,-1.1989,-0.35406,0.010031,1.3845,0.4585,-0.66638,-0.16567,0.22371,0.31047,0.34865,-0.17508,-0.054567,-0.1327,0.22779,0.53606,-0.39999,-0.1335,-0.50679,0.073398,-0.5508,0.20702,-0.6819,-0.26286,-0.41621,-0.48686,0.27897,0.048224,0.28009,0.53407,-0.39897,-0.39953,0.96969,-0.18235,-0.43824,0.7883,0.097277,-0.56205,-0.12538,0.49563,-0.20516,0.88868,-0.35564,0.21684,-0.29456,-0.28071,0.24263,-0.18615,0.13561,0.075186,-0.15252,-0.31615,0.11197,0.78042,-0.46392,0.41142,0.10978,0.54635,0.25643,-0.014776,0.80088,0.17145,-0.80211
"9",0.16544,-0.56764,-0.034072,-0.1087,0.31998,0.037627,0.33767,0.65841,-0.62419,-0.10877,-0.013099,0.45261,-0.33408,0.89251,0.21717,0.69236,-0.47031,-0.46725,-0.87766,-0.021535,-0.15147,-0.53546,-0.20909,-0.093493,-0.46033,-0.74467,-0.010923,-0.43931,0.70906,-0.53376,0.56693,0.19493,0.095117,0.22235,-0.64219,-0.41168,0.46599,0.12795,-0.31699,0.16166,0.44157,0.39144,-0.79267,-0.69758,0.053452,-0.14468,-0.20296,-0.33082,0.0029541,0.34208,-1.1306,-0.65793,-0.20011,-0.34663,0.4256,0.45801,0.22511,0.96559,0.598,0.094098,-0.47846,0.36497,-0.59638,-0.45671,-0.82044,-0.223,-0.1448,-0.33749,-0.1824,0.10436,-0.29499,-0.24759,-0.10098,-0.11683,0.11577,0.37128,1.0899,-0.35306,0.44666,-0.70794,-0.43933,-0.022768,0.46993,-0.28624,0.52463,-0.47756,-0.24537,-0.90915,-0.3843,-0.017941,-0.091411,-0.24447,0.44298,-0.070866,0.35245,0.47648,-0.29892,0.010224,-0.50963,0.58889,0.10059,0.36298,-0.93121,0.50521,-0.50738,-0.3723,0.36438,0.34564,-0.20648,-0.65028,-0.3315,0.50531,0.84582,-0.035379,0.17294,0.085684,0.057685,0.21798,0.66222,0.37086,0.29059,0.12308,-0.16859,0.39806,-0.29953,-0.31036,-0.026191,-0.13369,-0.15827,0.90229,-0.21409,0.31956,-0.41703,-0.11343,-0.13161,-0.79487,0.51851,-0.73601,0.45502,-0.61024,-0.29938,0.30237,0.089484,-0.52581,-0.065187,0.2449,0.018859,-0.3079,-0.19356,0.23424,0.97397,-0.21271,-0.25176,-0.82012,0.6429,-0.85113,0.25186,0.65647,0.70682,0.60499,0.60706,-0.23691,-0.021148,-0.30878,0.55841,0.044579,0.60966,-0.7256,-0.23038,-0.27731,-0.67313,-0.37058,0.10146,0.1141,0.70542,-0.0198,-0.13579,0.20932,-0.42078,-0.067301,-0.41196,0.31038,-0.076441,0.5912,-0.056002,-0.30963,-0.41168,-0.11305,-0.97039,0.41662,0.043438,-0.70925,-0.85532,-0.38073,-0.42152,0.43112,-0.57823,0.015495,-0.029999,0.36859
"10",0.45808,0.52658,-0.20847,0.56626,-0.2411,0.949,0.41187,0.17536,-0.91459,0.46321,0.29833,0.33783,0.18128,0.27892,-0.91863,0.36324,-0.56289,0.33972,-0.5751,-0.31545,0.65582,0.54469,0.24277,-0.17499,0.045398,-0.28759,0.09762,-0.18761,-0.44201,-0.16743,-0.47187,0.6824,0.087826,-0.72421,0.38478,-0.030934,0.41867,0.66957,-0.0031881,-0.30801,0.26655,0.64868,-0.75365,0.31892,-0.14754,-0.4586,0.014842,-0.56992,-0.072199,-0.12485,0.42523,0.27842,0.25855,-1.0843,-0.12374,-0.1561,0.18405,-1.0018,-0.21575,-0.0095596,0.11409,-0.29421,0.50281,-0.53953,-0.35713,-0.38745,-0.9306,-0.088006,-0.1616,0.46961,-1.1058,-0.39902,-0.31793,-0.9738,1.0338,-0.41832,-0.0045919,0.16754,0.20128,-0.64324,0.13729,0.17033,0.2869,-0.010219,0.57382,0.064222,0.61175,-0.88503,-0.32721,-0.015512,0.69384,-0.58792,0.67953,-0.060803,-0.077708,0.54038,-0.10864,0.18708,0.17416,-0.1032,0.14582,-0.31978,-0.90859,-0.25969,0.58738,0.51314,-0.2809,-0.48768,-0.58744,0.066324,-0.20822,0.35243,-0.70331,-0.71654,0.47287,0.21564,0.042845,-0.66015,0.36432,0.39932,-0.21539,0.2435,0.0071056,-0.59189,-0.59524,-0.27999,-0.47851,0.64594,0.05284,0.13604,0.50563,0.48465,-0.00059251,-0.32101,0.55107,-0.21334,0.41965,0.028592,0.070251,-0.053611,0.85997,-0.60592,0.098546,0.12988,0.39739,0.38185,0.52372,0.41224,0.37588,0.36135,-0.097304,-0.54414,0.95732,-0.48355,-0.25078,0.34054,-0.00090541,-0.0063182,-0.048927,0.19347,-0.14097,0.3994,0.1678,1.0631,-0.012198,0.73345,0.62793,-0.49538,-0.13631,-0.87648,0.69614,-0.13738,-0.50868,-0.059101,0.43558,0.19549,0.49004,0.31568,0.28226,-0.053921,0.41158,0.14123,0.68003,0.19633,-0.91321,0.038756,-1.0907,-0.25735,-0.11867,-0.55796,0.1001,-0.064439,0.03211,-0.29923,0.29039,-0.6017,-0.67593,-0.30694,-0.071758,0.21608
