"","kld","degree_g1","degree_g2"
"49",0.695076319267353,13,2
"23",0.629398270458549,4,1
"50",0.582687458508012,7,2
"46",0.564418680029359,5,3
"2",0.563647906483826,5,4
"43",0.559307638472357,8,25
"60",0.558554074872384,8,26
"47",0.556085906814705,6,4
"97",0.541643132837769,10,2
"5",0.520282118643178,7,4
"82",0.505699708839056,10,2
"17",0.499264316832283,6,4
"56",0.497442620662564,6,4
"40",0.496972918550542,7,1
"32",0.473097089811242,4,1
"81",0.457249553761596,9,2
"59",0.446363112667585,6,1
"25",0.444919049312757,5,1
"36",0.439078985480366,6,1
"58",0.433261087625804,9,4
"98",0.430785576873744,11,2
"94",0.414486057801497,11,2
"42",0.401777298991864,7,3
"70",0.385307644341907,5,4
"3",0.382705966301237,10,4
"16",0.378218462523678,5,1
"51",0.375751900782873,4,2
"39",0.374156711359498,9,1
"80",0.367352982048675,7,5
"41",0.359169186687933,7,2
"76",0.357897559198498,6,1
"28",0.353384663768173,8,2
"37",0.348229698221244,9,4
"4",0.348121508532885,7,2
"78",0.345234544369649,6,1
"18",0.343204180674955,5,3
"44",0.335060323362384,6,1
"73",0.322520180464583,6,1
"48",0.321300799086172,7,3
"57",0.296877617048126,6,8
"75",0.293077052956243,6,3
"38",0.283504756234111,4,3
"61",0.279432749857919,6,3
"26",0.277549442980452,14,1
"92",0.271804565438464,8,2
"11",0.262699507748252,7,2
"12",0.256444437258634,6,4
"7",0.250518400114155,7,1
"45",0.247679142854669,8,3
"14",0.247470184631287,8,2
"34",0.247371748206216,5,2
"6",0.240370816948193,7,1
"68",0.238506634354635,7,4
"35",0.238322789860348,6,2
"24",0.231218330693498,9,1
"1",0.230610150725409,9,3
"71",0.229250814971957,5,1
"19",0.228602042276132,9,4
"85",0.228598784624836,11,1
"8",0.228445290301117,10,3
"87",0.226905127971978,4,1
"27",0.225214419627227,6,4
"20",0.224664914630416,8,1
"83",0.224611473971798,7,5
"91",0.22292267403072,9,1
"29",0.221013040919265,10,2
"52",0.214587642930944,5,2
"9",0.211864754377285,16,4
"84",0.210047768616687,8,1
"54",0.208889243915888,8,2
"79",0.208058696392733,4,2
"74",0.207546907928495,6,3
"10",0.201886554087269,8,1
"21",0.200609981496063,5,3
"99",0.186132068433337,6,2
"13",0.186120503440171,8,1
"88",0.179563511853717,8,4
"33",0.173204495486572,6,2
"22",0.16598080031284,5,1
"31",0.161044239476004,8,1
"64",0.155962916742773,5,2
"63",0.152100790539137,8,5
"95",0.14870131665747,7,1
"53",0.145959202515152,9,1
"30",0.143566319783416,7,4
"72",0.142623936686643,6,1
"93",0.142563134171019,5,3
"77",0.141466776000307,6,4
"15",0.136880698936393,6,1
"90",0.128782025924324,7,3
"67",0.12135646265906,5,1
"86",0.112215687225492,8,1
"100",0.0829234436152899,7,1
"65",0.0734644702880287,8,2
"96",0.0711604461381483,14,3
"62",0.0665579386208483,6,2
"55",0.0628540784080964,7,3
"69",0.0621541738767807,10,2
"66",0.0456025699922894,9,2
"89",0.0434077976432863,6,1
