1 6 0.65853 11
1 8 0.51438 7
1 13 0.75393 6
1 22 0.58798 6
1 24 0.5687 11
1 26 0.64209 12
1 28 0.65202 6
1 30 0.95742 17
1 40 0.8832 8
1 51 0.9013 9
1 53 0.7782 7
2 6 0.51089 9
2 11 0.6975 6
2 33 0.87385 14
2 41 0.51851 8
2 42 0.87777 10
2 49 0.74594 13
2 51 0.65527 7
3 24 0.59049 7
3 26 0.77429 8
3 30 0.68165 13
3 51 0.53069 6
4 26 0.86726 7
4 30 0.88091 12
5 25 0.63993 7
5 30 0.52847 13
5 33 0.81129 12
5 48 0.87253 5
6 9 0.88535 7
6 11 0.88565 8
6 25 0.76698 10
6 31 0.7966 7
6 33 0.76978 16
6 38 0.928 7
6 39 0.99619 8
6 43 0.78543 13
6 55 0.65467 9
7 33 0.97342 12
7 38 0.75655 3
7 43 0.83756 9
8 26 0.71793 8
8 29 0.81781 5
8 30 0.74291 13
9 49 0.81182 11
9 60 0.50635 7
10 32 0.62753 4
10 33 0.75867 12
10 42 0.75858 8
11 24 0.56174 8
11 30 0.7503 14
11 38 0.68458 4
12 30 0.63335 12
12 41 0.58573 5
13 26 0.97482 7
14 24 0.94107 6
14 30 0.89334 12
15 24 0.7538 7
15 25 0.69833 6
15 33 0.68098 12
16 26 0.5905 8
16 33 0.70947 12
16 37 0.99706 3
17 37 0.50598 3
17 41 0.67212 5
18 26 0.50247 7
18 32 0.64431 4
19 26 0.69762 8
19 33 0.83507 12
19 49 0.62093 11
19 51 0.90891 6
20 34 0.86719 3
20 42 0.60939 8
20 43 0.87828 9
21 30 0.73239 12
21 42 0.88245 8
22 60 0.53418 7
23 29 0.6942 4
23 30 0.983 12
24 30 0.86298 17
24 37 0.51799 7
24 52 0.59274 8
24 53 0.57495 7
24 56 0.77099 9
24 58 0.97761 8
25 39 0.71506 7
25 40 0.78873 7
25 44 0.51259 10
25 50 0.87907 8
25 58 0.58964 7
25 59 0.64951 9
25 60 0.55075 11
26 30 0.88593 18
26 33 0.53031 17
26 34 0.60684 8
26 36 0.72498 8
26 49 0.68878 16
27 29 0.5712 4
27 46 0.7904 4
27 54 0.55726 8
28 30 0.64483 12
29 33 0.91356 13
29 39 0.88239 5
29 42 0.96724 10
30 31 0.8886 13
30 39 0.98501 14
30 43 0.52968 19
30 45 0.53716 17
30 46 0.76244 14
30 48 0.70103 14
30 50 0.69735 14
30 54 0.70526 18
30 55 0.71714 15
30 56 0.85701 15
31 43 0.82732 9
32 33 0.64156 13
32 35 0.95688 4
32 40 0.88168 5
32 58 0.78832 5
33 34 0.93101 12
33 36 0.6048 12
33 42 0.63679 17
33 47 0.83822 13
33 49 0.98707 20
33 51 0.91459 14
33 52 0.95944 13
33 54 0.75764 17
33 59 0.90656 14
33 60 0.96801 16
35 44 0.67086 6
36 44 0.59693 7
37 52 0.56227 5
38 42 0.57395 9
39 49 0.61748 12
40 43 0.69874 10
40 54 0.92451 9
41 42 0.81197 11
41 43 0.99725 12
41 44 0.8034 10
41 75 0.9323 17
41 84 0.55081 7
41 89 0.96186 8
42 43 0.84144 15
42 47 0.51967 9
42 59 0.99304 11
42 63 0.50952 12
42 75 0.85896 20
42 91 0.80211 8
43 44 0.83303 13
43 49 0.60632 17
43 50 0.64818 11
43 51 0.78028 12
43 60 0.91417 14
43 63 0.81581 13
43 67 0.60123 9
43 80 0.79717 11
44 45 0.56433 11
44 53 0.73656 7
44 57 0.97129 7
44 63 0.97695 11
